,store_id,order_id,product_id,price,profit,delivery_distance,planned_prep_time,region_id,order_price,items_count,prepared_on_time
0,5014.0,20562761.0,41.0,7.04,45.504,2205.0,15.0,683.0,30.49,2.0,1.0
1,5014.0,20562761.0,31.0,23.45,45.504,2205.0,15.0,683.0,30.49,2.0,1.0
2,3856.0,20562753.0,7.0,51.94,30.336,1368.0,10.0,683.0,240.78,2.0,1.0
3,3856.0,20562753.0,4.0,98.96000000000001,30.336,1368.0,10.0,683.0,240.78,2.0,1.0
4,10825.0,20562723.0,12.0,85.99,43.608,459.0,20.0,683.0,85.99,1.0,1.0
5,8535.0,20562639.0,10.0,30.28,11.312800000000005,1749.0,10.0,685.0,80.09,5.0,1.0
6,8535.0,20562639.0,46.0,12.96,11.312800000000005,1749.0,10.0,685.0,80.09,5.0,1.0
7,8535.0,20562639.0,19.0,27.47,11.312800000000005,1749.0,10.0,685.0,80.09,5.0,1.0
8,8535.0,20562639.0,26.0,4.69,11.312800000000005,1749.0,10.0,685.0,80.09,5.0,1.0
9,8535.0,20562639.0,26.0,4.69,11.312800000000005,1749.0,10.0,685.0,80.09,5.0,1.0
10,11449.0,20562617.0,12.0,85.99,4.424,1040.0,20.0,695.0,85.99,1.0,1.0
11,5014.0,20562585.0,28.0,16.66,49.77,536.0,15.0,683.0,86.28,3.0,1.0
12,5014.0,20562585.0,34.0,2.77,49.77,536.0,15.0,683.0,86.28,3.0,1.0
13,5014.0,20562585.0,38.0,66.85,49.77,536.0,15.0,683.0,86.28,3.0,1.0
14,10489.0,20562577.0,34.0,2.77,27.65,314.0,20.0,683.0,4.33,2.0,1.0
15,10489.0,20562577.0,21.0,1.56,27.65,314.0,20.0,683.0,4.33,2.0,1.0
16,10295.0,20562575.0,7.0,51.94,8.927,336.0,15.0,683.0,51.94,1.0,1.0
17,8259.0,20562573.0,18.0,16.36,8.848,1228.0,15.0,709.0,42.06,3.0,1.0
18,8259.0,20562573.0,54.0,6.17,8.848,1228.0,15.0,709.0,42.06,3.0,1.0
19,8259.0,20562573.0,55.0,19.53,8.848,1228.0,15.0,709.0,42.06,3.0,1.0
20,4071.0,20562565.0,31.0,23.45,45.8832,144.0,30.0,695.0,74.89,3.0,1.0
21,4071.0,20562565.0,57.0,21.47,45.8832,144.0,30.0,695.0,74.89,3.0,1.0
22,4071.0,20562565.0,2.0,29.97,45.8832,144.0,30.0,695.0,74.89,3.0,1.0
23,7733.0,20562551.0,40.0,14.85,32.88148741136865,858.0,15.0,693.0,54.96,3.0,1.0
24,7733.0,20562551.0,31.0,23.45,32.96281010783423,858.0,15.0,693.0,54.96,3.0,1.0
25,7733.0,20562551.0,28.0,16.66,33.027965061428404,858.0,15.0,693.0,54.96,3.0,1.0
26,11175.0,20562543.0,22.0,38.61,44.556,1340.0,20.0,683.0,307.52,6.0,1.0
27,11175.0,20562543.0,64.0,3.57,44.556,1340.0,20.0,683.0,307.52,6.0,1.0
28,11175.0,20562543.0,42.0,4.85,44.556,1340.0,20.0,683.0,307.52,6.0,1.0
29,11175.0,20562543.0,25.0,98.96000000000001,44.556,1340.0,20.0,683.0,307.52,6.0,1.0
30,11175.0,20562543.0,7.0,51.94,44.556,1340.0,20.0,683.0,307.52,6.0,1.0
31,11175.0,20562543.0,35.0,14.18,44.556,1340.0,20.0,683.0,307.52,6.0,1.0
32,8767.0,20562541.0,54.0,6.17,7.994643183258631,1702.0,15.0,717.0,44.78,2.0,1.0
